200 kVp X-ray spectrum data of 12 degree tunsten target with 0.8 mmAl permanent filteration
Energy(keV), Fluence (cm⁻² keV⁻¹)
78.0, 5716871.854
78.1, 5710352.474
78.2, 5703822.588
78.3, 5697283.424
78.4, 5690739.778
78.5, 5684189.597
78.6, 5677627.584
78.7, 5671053.892
78.8, 5664468.67
78.9, 5657872.065
79.0, 5651265.36
79.1, 5644648.7
79.2, 5638016.117
79.3, 5631370.477
79.4, 5624717.407
79.5, 5618054.226
79.6, 5611391.752
79.7, 5604746.754
79.8, 5598089.698
79.9, 5591435.829
80.0, 5584695.173
80.1, 5577926.771
80.2, 5571151.496
80.3, 5564368.263
80.4, 5557578.486
80.5, 5550781.175
80.6, 5543976.416
80.7, 5537164.342
80.8, 5530343.85
80.9, 5523515.068
81.0, 5516683.622
81.1, 5509849.637
81.2, 5502991.379
81.3, 5496120.472
81.4, 5489245.85
81.5, 5482352.551
81.6, 5475478.194
81.7, 5468617.018
81.8, 5461746.694
81.9, 5454883.219
82.0, 5447976.884
82.1, 5441070.822
82.2, 5434157.611
82.3, 5427237.37
82.4, 5420310.216
82.5, 5413378.409
82.6, 5406443.132
82.7, 5399502.36
82.8, 5392559.659
82.9, 5385615.138
83.0, 5378665.755
83.1, 5371711.621
83.2, 5364733.689
83.3, 5357753.764
83.4, 5350765.205
83.5, 5343760.669
83.6, 5336778.617
83.7, 5329805.011
83.8, 5322827.284
83.9, 5315853.041
84.0, 5308847.292
84.1, 5301846.872
84.2, 5294841.363
84.3, 5287830.871
84.4, 5280815.497
84.5, 5273796.597
84.6, 5266777.479
84.7, 5259758.152
84.8, 5252736.461
84.9, 5245711.337
85.0, 5238683.998
85.1, 5231653.245
85.2, 5224602.884
85.3, 5217551.265
85.4, 5210486.721
85.5, 5203423.924
85.6, 5196383.188
85.7, 5189343.341
85.8, 5182301.706
85.9, 5175266.176
86.0, 5168207.438
86.1, 5161151.612
86.2, 5154092.313
86.3, 5147029.631
86.4, 5139969.065
86.5, 5132910.697
86.6, 5125849.204
86.7, 5118785.274
86.8, 5111720.044
86.9, 5104654.208
87.0, 5097590.638
87.1, 5090522.844
87.2, 5083441.964
87.3, 5076358.165
87.4, 5069272.321
87.5, 5062186.159
87.6, 5055113.941
87.7, 5048042.382
87.8, 5040968.658
87.9, 5033898.198
88.0, 5026817.939
88.1, 5019743.298
88.2, 5012670.739
88.3, 5005600.33
88.4, 4998530.017
88.5, 4991460.847
88.6, 4984391.021
88.7, 4977319.641
88.8, 4970248.619
88.9, 4963178.03
89.0, 4956107.856
89.1, 4949034.276
89.2, 4941955.92
89.3, 4934873.935
89.4, 4927792.964
89.5, 4920712.105
89.6, 4913639.405
89.7, 4906569.706
89.8, 4899501.087
89.9, 4892435.136
90.0, 4885381.399
90.1, 4878344.729
90.2, 4871309.132
90.3, 4864274.056
90.4, 4857238.291
90.5, 4850201.903
90.6, 4843164.96
90.7, 4836128.325
90.8, 4829091.266
90.9, 4822053.848
91.0, 4815020.337
91.1, 4807981.408
91.2, 4800941.387
91.3, 4793906.437
91.4, 4786873.682
91.5, 4779842.562
91.6, 4772811.114
91.7, 4765780.959
91.8, 4758752.903
91.9, 4751727.157
92.0, 4744711.108
92.1, 4737697.943
92.2, 4730685.072
92.3, 4723673.834
92.4, 4716667.966
92.5, 4709666.537
92.6, 4702665.922
92.7, 4695665.881
92.8, 4688667.413
92.9, 4681670.574
93.0, 4674677.439
93.1, 4667679.635
93.2, 4660684.749
93.3, 4653691.557
93.4, 4646700.113
93.5, 4639710.257
93.6, 4632718.708
93.7, 4625732.674
93.8, 4618750.514
93.9, 4611769.726
94.0, 4604809.045
94.1, 4597850.325
94.2, 4590892.702
94.3, 4583936.227
94.4, 4576982.438
94.5, 4570031.77
94.6, 4563084.707
94.7, 4556140.363
94.8, 4549198.721
94.9, 4542261.116
95.0, 4535328.861
95.1, 4528397.499
95.2, 4521470.499
95.3, 4514547.434
95.4, 4507626.798
95.5, 4500703.022
95.6, 4493769.552
95.7, 4486841.477
95.8, 4479918.838
95.9, 4472994.966
96.0, 4466104.325
96.1, 4459217.422
96.2, 4452333.733
96.3, 4445453.298
96.4, 4438574.617
96.5, 4431697.732
96.6, 4424823.704
96.7, 4417952.572
96.8, 4411084.799
96.9, 4404222.454
97.0, 4397367.679
97.1, 4390515.674
97.2, 4383667.689
97.3, 4376823.763
97.4, 4369982.521
97.5, 4363135.846
97.6, 4356281.012
97.7, 4349432.038
97.8, 4342588.024
97.9, 4335742.376
98.0, 4328938.854
98.1, 4322136.003
98.2, 4315335.783
98.3, 4308538.231
98.4, 4301744.686
98.5, 4294955.183
98.6, 4288169.102
98.7, 4281386.478
98.8, 4274609.319
98.9, 4267838.39
99.0, 4261078.496
99.1, 4254323.354
99.2, 4247572.515
99.3, 4240826.012
99.4, 4234083.952
99.5, 4227330.077
99.6, 4220566.72
99.7, 4213810.868
99.8, 4207061.244
99.9, 4200307.18
100.0, 4193585.698
100.1, 4186847.517
100.2, 4180115.272
100.3, 4173386.826
100.4, 4166662.211
100.5, 4159941.691
100.6, 4153225.296
100.7, 4146513.44
100.8, 4139809.491
100.9, 4133117.21
101.0, 4126426.242
101.1, 4119737.195
101.2, 4113053.511
101.3, 4106375.214
101.4, 4099702.055
101.5, 4093015.271
101.6, 4086321.925
101.7, 4079635.081
101.8, 4072955.136
101.9, 4066271.613
102.0, 4059636.378
102.1, 4053000.034
102.2, 4046368.61
102.3, 4039743.721
102.4, 4033125.313
102.5, 4026511.817
102.6, 4019903.661
102.7, 4013302.151
102.8, 4006708.078
102.9, 4000122.971
103.0, 3993536.751
103.1, 3986954.446
103.2, 3980377.984
103.3, 3973807.383
103.4, 3967242.971
103.5, 3960664.621
103.6, 3954086.024
103.7, 3947516.368
103.8, 3940954.502
103.9, 3934390.418
104.0, 3927872.601
104.1, 3921353.64
104.2, 3914838.983
104.3, 3908328.649
104.4, 3901824.064
104.5, 3895328.049
104.6, 3888839.216
104.7, 3882354.777
104.8, 3875880.884
104.9, 3869411.52
105.0, 3862943.453
105.1, 3856482.106
105.2, 3850025.625
105.3, 3843575.312
105.4, 3837131.851
105.5, 3830671.218
105.6, 3824215.74
105.7, 3817771.427
105.8, 3811334.443
105.9, 3804896.18
106.0, 3798500.341
106.1, 3792101.753
106.2, 3785708.004
106.3, 3779319.111
106.4, 3772937.143
106.5, 3766562.976
106.6, 3760195.762
106.7, 3753839.563
106.8, 3747494.423
106.9, 3741153.743
107.0, 3734814.207
107.1, 3728480.586
107.2, 3722153.81
107.3, 3715833.353
107.4, 3709518.311
107.5, 3703183.682
107.6, 3696853.761
107.7, 3690531.438
107.8, 3684219.28
107.9, 3677910.673
108.0, 3671646.486
108.1, 3665382.206
108.2, 3659122.844
108.3, 3652869.515
108.4, 3646622.231
108.5, 3640379.903
108.6, 3634143.194
108.7, 3627917.31
108.8, 3621698.007
108.9, 3615484.043
109.0, 3609274.107
109.1, 3603069.554
109.2, 3596874.257
109.3, 3590687.985
109.4, 3584507.122
109.5, 3578305.995
109.6, 3572113.337
109.7, 3565928.305
109.8, 3559750.997
109.9, 3553574.202
110.0, 3547436.737
110.1, 3541297.263
110.2, 3535163.765
110.3, 3529036.253
110.4, 3522915.92
110.5, 3516804.743
110.6, 3510705.938
110.7, 3504615.005
110.8, 3498529.034
110.9, 3492444.298
111.0, 3486364.192
111.1, 3480290.381
111.2, 3474221.923
111.3, 3468158.83
111.4, 3462098.454
111.5, 3456020.707
111.6, 3449951.875
111.7, 3443891.963
111.8, 3437840.848
111.9, 3431791.963
112.0, 3425782.49
112.1, 3419774.184
112.2, 3413772.736
112.3, 3407777.127
112.4, 3401786.683
112.5, 3395804.11
112.6, 3389831.889
112.7, 3383864.85
112.8, 3377904.331
112.9, 3371945.84
113.0, 3365992.361
113.1, 3360045.734
113.2, 3354105.963
113.3, 3348171.76
113.4, 3342239.139
113.5, 3336293.997
113.6, 3330357.371
113.7, 3324429.263
113.8, 3318508.77
113.9, 3312590.639
114.0, 3306712.369
114.1, 3300835.831
114.2, 3294964.653
114.3, 3289098.842
114.4, 3283239.707
114.5, 3277392.708
114.6, 3271551.692
114.7, 3265716.133
114.8, 3259886.554
114.9, 3254058.893
115.0, 3248236.964
115.1, 3242420.772
115.2, 3236612.603
115.3, 3230812.458
115.4, 3225010.698
115.5, 3219199.626
115.6, 3213397.782
115.7, 3207605.635
115.8, 3201822.496
115.9, 3196042.679
116.0, 3190298.345
116.1, 3184552.481
116.2, 3178812.662
116.3, 3173078.893
116.4, 3167354.342
116.5, 3161639.009
116.6, 3155928.811
116.7, 3150223.629
116.8, 3144522.845
116.9, 3138824.638
117.0, 3133134.037
117.1, 3127451.043
117.2, 3121773.411
117.3, 3116101.835
117.4, 3110426.86
117.5, 3104744.383
117.6, 3099071.413
117.7, 3093407.946
117.8, 3087752.651
117.9, 3082100.77
118.0, 3076481.711
118.1, 3070861.756
118.2, 3065247.409
118.3, 3059640.578
118.4, 3054046.845
118.5, 3048460.522
118.6, 3042880.656
118.7, 3037306.395
118.8, 3031736.478
118.9, 3026171.144
119.0, 3020613.495
119.1, 3015063.529
119.2, 3009519.488
119.3, 3003981.374
119.4, 2998437.834
119.5, 2992890.221
119.6, 2987351.671
119.7, 2981823.069
119.8, 2976303.079
119.9, 2970786.624
120.0, 2965304.478
120.1, 2959823.92
120.2, 2954348.597
120.3, 2948882.559
120.4, 2943424.532
120.5, 2937972.817
120.6, 2932526.416
120.7, 2927086.026
120.8, 2921648.192
120.9, 2916215.753
121.0, 2910790.202
121.1, 2905370.203
121.2, 2899955.759
121.3, 2894546.869
121.4, 2889130.418
121.5, 2883713.028
121.6, 2878305.521
121.7, 2872907.034
121.8, 2867516.917
121.9, 2862131.525
122.0, 2856776.184
122.1, 2851419.954
122.2, 2846071.904
122.3, 2840734.223
122.4, 2835402.462
122.5, 2830076.621
122.6, 2824755.927
122.7, 2819440.384
122.8, 2814125.751
122.9, 2808816.087
123.0, 2803512.746
123.1, 2798215.728
123.2, 2792926.104
123.3, 2787643.871
123.4, 2782352.34
123.5, 2777063.519
123.6, 2771783.974
123.7, 2766511.545
123.8, 2761246.231
123.9, 2755984.907
124.0, 2750752.269
124.1, 2745519.574
124.2, 2740297.719
124.3, 2735081.644
124.4, 2729870.73
124.5, 2724665.852
124.6, 2719468.121
124.7, 2714276.189
