160 kVp X-ray spectrum data of 12 degree tunsten target with 0.8 mmAl permanent filteration
Energy(keV),Fluence (cm⁻² keV⁻¹)
87.4, 3697680.921
87.5, 3690382.695
87.6, 3683105.416
87.7, 3675835.794
87.8, 3668571.339
87.9, 3661317.577
88.0, 3654058.614
88.1, 3646808.673
88.2, 3639564.942
88.3, 3632327.762
88.4, 3625101.269
88.5, 3617877.948
88.6, 3610659.308
88.7, 3603438.075
88.8, 3596215.464
88.9, 3589000.671
89.0, 3581792.231
89.1, 3574590.179
89.2, 3567402.003
89.3, 3560222.383
89.4, 3553049.934
89.5, 3545889.075
89.6, 3538731.315
89.7, 3531584.135
89.8, 3524443.77
89.9, 3517308.703
90.0, 3510183.009
90.1, 3503065.546
90.2, 3495953.622
90.3, 3488841.733
90.4, 3481730.79
90.5, 3474628.457
90.6, 3467533.535
90.7, 3460445.945
90.8, 3453367.389
90.9, 3446296.683
91.0, 3439233.085
91.1, 3432177.57
91.2, 3425135.312
91.3, 3418103.286
91.4, 3411076.962
91.5, 3404057.301
91.6, 3397044.848
91.7, 3390038.019
91.8, 3383037.814
91.9, 3376035.65
92.0, 3369037.478
92.1, 3362046.244
92.2, 3355067.109
92.3, 3348094.686
92.4, 3341125.45
92.5, 3334165.702
92.6, 3327216.809
92.7, 3320275.733
92.8, 3313352.396
92.9, 3306433.504
93.0, 3299521.772
93.1, 3292616.887
93.2, 3285720.72
93.3, 3278830.191
93.4, 3271945.021
93.5, 3265056.312
93.6, 3258175.757
93.7, 3251304.072
93.8, 3244438.688
93.9, 3237577.905
94.0, 3230714.391
94.1, 3223862.373
94.2, 3217019.825
94.3, 3210184.201
94.4, 3203371.289
94.5, 3196562.286
94.6, 3189759.949
94.7, 3182970.677
94.8, 3176191.336
94.9, 3169419.372
95.0, 3162653.166
95.1, 3155888.058
95.2, 3149131.977
95.3, 3142384.937
95.4, 3135645.139
95.5, 3128907.061
95.6, 3122164.517
95.7, 3115433.401
95.8, 3108714.819
95.9, 3102000.602
96.0, 3095320.064
96.1, 3088644.45
96.2, 3081976.303
96.3, 3075319.276
96.4, 3068669.574
96.5, 3062025.704
96.6, 3055386.575
96.7, 3048748.493
96.8, 3042119.169
96.9, 3035496.261
97.0, 3028879.785
97.1, 3022260.562
97.2, 3015635.44
97.3, 3009023.364
97.4, 3002421.76
97.5, 2995824.03
97.6, 2989263.16
97.7, 2982702.575
97.8, 2976156.073
97.9, 2969617.859
98.0, 2963086.368
98.1, 2956560.556
98.2, 2950037.511
98.3, 2943516.523
98.4, 2937002.809
98.5, 2930496.378
98.6, 2924000.165
98.7, 2917497.063
98.8, 2910989.38
98.9, 2904493.912
99.0, 2898007.698
99.1, 2891521.452
99.2, 2885079.751
99.3, 2878639.313
99.4, 2872210.713
99.5, 2865787.967
99.6, 2859372.064
99.7, 2852964.717
99.8, 2846560.899
99.9, 2840165.523
100.0, 2833764.722
100.1, 2827358.801
100.2, 2820959.666
100.3, 2814550.935
100.4, 2808138.554
100.5, 2801736.107
100.6, 2795343.77
100.7, 2788952.849
100.8, 2782611.004
100.9, 2776276.237
101.0, 2769950.549
101.1, 2763631.492
101.2, 2757319.859
101.3, 2751014.288
101.4, 2744710.296
101.5, 2738411.227
101.6, 2732118.731
101.7, 2725832.817
101.8, 2719553.734
101.9, 2713266.061
102.0, 2706981.432
102.1, 2700708.212
102.2, 2694444.892
102.3, 2688181.887
102.4, 2681966.149
102.5, 2675754.71
102.6, 2669549.383
102.7, 2663350.176
102.8, 2657157.097
102.9, 2650970.156
103.0, 2644787.103
103.1, 2638612.627
103.2, 2632445.777
103.3, 2626286.558
103.4, 2620137.304
103.5, 2613974.175
103.6, 2607811.404
103.7, 2601659.902
103.8, 2595518.635
103.9, 2589378.019
104.0, 2583286.533
104.1, 2577196.614
104.2, 2571115.431
104.3, 2565040.96
104.4, 2558973.96
104.5, 2552914.073
104.6, 2546855.222
104.7, 2540803.72
104.8, 2534760.119
104.9, 2528725.06
105.0, 2522699.42
105.1, 2516658.659
105.2, 2510621.251
105.3, 2504595.424
105.4, 2498580.154
105.5, 2492567.208
105.6, 2486603.309
105.7, 2480638.57
105.8, 2474679.968
105.9, 2468727.509
106.0, 2462781.197
106.1, 2456840.705
106.2, 2450902.644
106.3, 2444972.996
106.4, 2439052.352
106.5, 2433140.711
106.6, 2427236.102
106.7, 2421314.052
106.8, 2415398.291
106.9, 2409492.934
107.0, 2403596.957
107.1, 2397706.469
107.2, 2391859.187
107.3, 2386009.974
107.4, 2380166.848
107.5, 2374332.303
107.6, 2368506.907
107.7, 2362685.256
107.8, 2356866.266
107.9, 2351054.328
108.0, 2345251.455
108.1, 2339456.332
108.2, 2333667.614
108.3, 2327859.717
108.4, 2322059.201
108.5, 2316267.78
108.6, 2310486.333
108.7, 2304714.57
108.8, 2298983.827
108.9, 2293252.951
109.0, 2287528
109.1, 2281808.976
109.2, 2276096.918
109.3, 2270388.754
109.4, 2264684.469
109.5, 2258988.685
109.6, 2253299.431
109.7, 2247616.549
109.8, 2241941.727
109.9, 2236247.665
110.0, 2230562.225
110.1, 2224886.843
110.2, 2219225.936
110.3, 2213569.901
110.4, 2207952.881
110.5, 2202334.82
110.6, 2196722.274
110.7, 2191115.247
110.8, 2185513.742
110.9, 2179915.678
111.0, 2174324.565
111.1, 2168739.714
111.2, 2163160.821
111.3, 2157587.887
111.4, 2152020.075
111.5, 2146435.959
111.6, 2140862.411
111.7, 2135298.774
111.8, 2129749.359
111.9, 2124202.059
112.0, 2118692.092
112.1, 2113181.341
112.2, 2107676.578
112.3, 2102177.855
112.4, 2096685.244
112.5, 2091195.437
112.6, 2085712.107
112.7, 2080237.065
112.8, 2074769.478
112.9, 2069310.372
113.0, 2063853.382
113.1, 2058382.742
113.2, 2052920.963
113.3, 2047471.284
113.4, 2042033.214
113.5, 2036598.089
113.6, 2031198.579
113.7, 2025797.27
113.8, 2020401.689
113.9, 2015012.336
114.0, 2009632.109
114.1, 2004254.23
114.2, 1998882.483
114.3, 1993518.055
114.4, 1988159.607
114.5, 1982807.141
114.6, 1977454.023
114.7, 1972089.52
114.8, 1966733.516
114.9, 1961391.697
115.0, 1956058.241
115.1, 1950727.708
115.2, 1945433.506
115.3, 1940139.722
115.4, 1934851.461
115.5, 1929569.412
115.6, 1924293.978
115.7, 1919020.533
115.8, 1913752.998
115.9, 1908491.374
116.0, 1903235.66
116.1, 1897985.854
116.2, 1892733.518
116.3, 1887472.273
116.4, 1882223.237
116.5, 1876987.915
116.6, 1871761.479
116.7, 1866538.416
116.8, 1861348.268
116.9, 1856156.168
117.0, 1850970.871
117.1, 1845792.569
117.2, 1840617.579
117.3, 1835444.438
117.4, 1830276.852
117.5, 1825114.819
117.6, 1819959.363
117.7, 1814810.481
117.8, 1809658.965
117.9, 1804500.805
118.0, 1799356.14
118.1, 1794219.519
118.2, 1789090.754
118.3, 1783965.693
118.4, 1778873.316
118.5, 1773778.857
118.6, 1768690.972
118.7, 1763608.192
118.8, 1758528.667
118.9, 1753452.69
119.0, 1748382.249
119.1, 1743319.112
119.2, 1738261.286
119.3, 1733208.77
119.4, 1728149.767
119.5, 1723088.626
119.6, 1718038.212
119.7, 1712996.418
119.8, 1707962.608
119.9, 1702932.217
120.0, 1697932.866
120.1, 1692933.216
120.2, 1687938.812
120.3, 1682949.778
120.4, 1677963.529
120.5, 1672980.522
120.6, 1668002.61
120.7, 1663029.793
120.8, 1658062.072
120.9, 1653099.446
121.0, 1648128.868
121.1, 1643162.206
121.2, 1638203.135
121.3, 1633251.313
121.4, 1628306.795
121.5, 1623365.784
121.6, 1618455.941
121.7, 1613546.054
121.8, 1608641.08
121.9, 1603741.019
122.0, 1598841.627
122.1, 1593946.562
122.2, 1589056.79
122.3, 1584172.31
122.4, 1579294.016
122.5, 1574421.905
122.6, 1569542.617
122.7, 1564665.982
122.8, 1559796.738
122.9, 1554936.37
123.0, 1550083.996
123.1, 1545236.174
123.2, 1540417.907
123.3, 1535597.233
123.4, 1530780.85
123.5, 1525968.758
123.6, 1521155.953
123.7, 1516347.713
123.8, 1511545.653
123.9, 1506748.577
124.0, 1501956.172
124.1, 1497168.439
124.2, 1492375.929
124.3, 1487584.938
124.4, 1482800.697
124.5, 1478023.179
124.6, 1473252.553
124.7, 1468487.233
